id,name,created_at
burrbear,Burrbear,20250330_014029
butter-xyz,Butter.xyz,20250330_014029
buyucoin,BuyUcoin,20250330_014029
bw,BWFX.pro,20250330_014029
bybit,Bybit (Futures),20250330_014029
bybit_spot,Bybit,20250330_014029
bydfi,BYDFi,20250330_014029
bydfi-futures,BYDFi (Futures),20250330_014029
byte-exchange,Byte Exchange,20250330_014029
camelot,Camelot,20250330_014029
camelot-sanko,Camelot V3 (Sanko),20250330_014029
camelot-v2-apechain,Camelot V2 (ApeChain),20250330_014029
camelot-v2-educhain,Camelot V2 (EDU Chain),20250330_014029
camelot-v3,Camelot V3,20250330_014029
camelot-v3-corn,Camelot V3 (Corn),20250330_014029
camelot-v3-edu-chain,Camelot V3 (EDU Chain),20250330_014029
camelot-v3-gravity,Camelot V3 (Gravity),20250330_014029
canto_dex,Canto Dex,20250330_014029
carbon,Carbon Defi (Ethereum),20250330_014029
carbon-defi-celo,Carbon DeFi (Celo),20250330_014029
carbon-defi-seiv2,Carbon DeFi (Sei V2),20250330_014029
catex,Catex,20250330_014029
caviarnine,CaviarNine,20250330_014029
cellana-finance,Cellana Finance,20250330_014029
cetoswap,Cetoswap (Manta Pacific),20250330_014029
cetus,Cetus,20250330_014029
cex,CEX.IO,20250330_014029
chainex,ChainEX,20250330_014029
chainflip,Chainflip,20250330_014029
changelly,Changelly PRO,20250330_014029
changenow,ChangeNOW,20250330_014029
cherryswap,CherrySwap,20250330_014029
chronos,Chronos,20250330_014029
citex,CITEX,20250330_014029
claimswap,Claimswap,20250330_014029
cleopatra-exchange,Cleopatra Exchange,20250330_014029
clipper-arbitrum,Clipper (Arbitrum),20250330_014029
clipper_ethereum,Clipper (Ethereum),20250330_014029
clipper_optimism,Clipper (Optimism),20250330_014029
clipper_polygon,Clipper (Polygon),20250330_014029
cme_futures,CME Group,20250330_014029
coinbase_international,Coinbase International Exchange,20250330_014029
coinbase_international_derivatives,Coinbase International Exchange (Derivatives),20250330_014029
coincall,Coincall,20250330_014029
coincatch,CoinCatch,20250330_014029
coincatch_derivatives,CoinCatch Derivatives,20250330_014029
coincheck,Coincheck,20250330_014029
coindcx,CoinDCX,20250330_014029
coinex,CoinEx,20250330_014029
coinex_futures,CoinEx (Futures),20250330_014029
coinjar,CoinJar Exchange,20250330_014029
coinlist,Coinlist,20250330_014029
coin_metro,Coinmetro,20250330_014029
coinone,Coinone,20250330_014029
coinspro,Coins.ph,20250330_014029
coinstore,Coinstore,20250330_014029
coinswap,CoinSwap,20250330_014029
cointr,CoinTR,20250330_014029
coinw,CoinW,20250330_014029
coinw_futures,CoinW (Futures),20250330_014029
coinzoom,Coinzoom,20250330_014029
comethswap,ComethSwap,20250330_014029
common,Common,20250330_014029
concave,Concave,20250330_014029
convergence-finance-v2,Convergence Finance,20250330_014029
corex,COREx,20250330_014029
c_patex,C-Patex,20250330_014029
crema_finance,Crema Finance,20250330_014029
crescent,Crescent,20250330_014029
crodex,Crodex,20250330_014029
cronaswap,Cronaswap,20250330_014029
cronus_finance,Cronus Finance,20250330_014029
croswap,CroSwap,20250330_014029
crowdswap-polygon,CrowdSwap (Polygon),20250330_014029
cryptal,Cryptal,20250330_014029
crypto_com,Crypto.com Exchange,20250330_014029
crypto_com_futures,Crypto.com Exchange (Futures),20250330_014029
cryptology,Tothemoon,20250330_014029
cswap,cSwap,20250330_014029
cube,Cube,20250330_014029
cubiswap,CUBISwap,20250330_014029
currency,Currency.com,20250330_014029
curve_arbitrum,Curve (Arbitrum),20250330_014029
curve_avalanche,Curve (Avalanche),20250330_014029
curve-base,Curve (Base),20250330_014029
curve-bsc,Curve (BSC),20250330_014029
curve-celo,Curve (Celo),20250330_014029
curve_ethereum,Curve (Ethereum),20250330_014029
curve_fantom,Curve (Fantom),20250330_014029
curve-fraxtal,Curve (Fraxtal),20250330_014029
curve-gnosis,Curve (Gnosis),20250330_014029
curve_moonbeam,Curve (Moonbeam),20250330_014029
curve_optimism,Curve (Optimism),20250330_014029
curve_polygon,Curve (Polygon),20250330_014029
curve-sonic,Curve (Sonic),20250330_014029
cyberblast-v2,Cyberblast V2,20250330_014029
cyberblast-v3,Cyberblast V3,20250330_014029
cyberperp,Cyberperp,20250330_014029
cytoswap,Cytoswap,20250330_014029
d8x-futures,D8X,20250330_014029
dackieswap,DackieSwap V3,20250330_014029
dackieswap-v2,DackieSwap V2,20250330_014029
dackieswap-v3-mode,DackieSwap V3 (Mode),20250330_014029
daos-fun,Daos.fun,20250330_014029
darkknight,Dark KnightSwap,20250330_014029
datadex,DataDex,20250330_014029
dcoin,Dcoin,20250330_014029
dedust,DeDust,20250330_014029
deepcoin,Deepcoin,20250330_014029
deepcoin_derivatives,Deepcoin (Derivatives),20250330_014029
defichain,DeFiChain DEX,20250330_014029
defi_kingdoms,Defi Kingdoms,20250330_014029
defi_kingdoms_crystalvale,Defi Kingdoms (Crystalvale),20250330_014029
defiplaza_radix,DefiPlaza (Radix),20250330_014029
defi_swap,DeFi Swap,20250330_014029
defive,DeFive,20250330_014029
defx,Defx,20250330_014029
degate,DeGate,20250330_014029
degenswap-degenchain,DegenSwap,20250330_014029
delta_futures,Delta Exchange (Futures),20250330_014029
delta_spot,Delta Exchange,20250330_014029
deltaswap,DeltaSwap (Arbitrum),20250330_014029
deltaswap-base,Deltaswap (Base),20250330_014029
dem_exchange,Demex,20250330_014029
demex_derivatives,Demex (Derivatives),20250330_014029
deribit,Deribit,20250330_014029
deribit_spot,Deribit Spot,20250330_014029
derive-futures,Derive (Futures),20250330_014029
derive-spot,Derive (Spot),20250330_014029
derpdex,DerpDEX (zkSync),20250330_014029
derpdex-base,DerpDEX (Base),20250330_014029
derpdex-opbnb,DerpDEX (opBnb),20250330_014029
deversifi,Rhino.fi,20250330_014029
dexalot,Dexalot,20250330_014029
dexie,dexie,20250330_014029
dexlab,Dexlab,20250330_014029
dexonic,Dexonic,20250330_014029
dexter,Persistence DEX,20250330_014029
dextoro,DexToro Pro,20250330_014029
dextrade,Dex-Trade,20250330_014029
dezswap,Dezswap,20250330_014029
dfx,DFX,20250330_014029
dfx_polygon,DFX (Polygon),20250330_014029
dfyn,Dfyn,20250330_014029
difx,DIFX,20250330_014029
digifinex,DigiFinex,20250330_014029
digitalexchange_id,Digitalexchange.id,20250330_014029
dodo,DODO (Ethereum),20250330_014029
dodo_arbitrum,DODO (Arbitrum),20250330_014029
dodo-avalanche,DODO (Avalanche),20250330_014029
dodo_bsc,DODO (BSC),20250330_014029
dodo-mantle,DODO (Mantle),20250330_014029
dodo_polygon,DODO (Polygon),20250330_014029
dodo_zircuit,DODO (Zircuit),20250330_014029
dogeshrek,Dogeshrek,20250330_014029
dogeswap,DogeSwap,20250330_014029
dojoswap,DojoSwap,20250330_014029
donekswap,Donkeswap,20250330_014029
dooar_bsc,DOOAR (BSC),20250330_014029
dooar_ethereum,DOOAR (Ethereum),20250330_014029
dooar-polygon,DOOAR (Polygon),20250330_014029
doveswap-v3,DoveSwap V3,20250330_014029
dracula-finance,Dracula Finance,20250330_014029
dragonswap,DragonSwap,20250330_014029
dragonswap-v2,DragonSwap V2,20250330_014029
dragonswap-v3,DragonSwap V3 (Kaia),20250330_014029
drift_protocol,Drift Protocol,20250330_014029
dtxswap-taiko,DTXSwap (Taiko),20250330_014029
duckswap,DuckSwap,20250330_014029
duckydefi,DuckyDeFi,20250330_014029
dusa,Dusa,20250330_014029
dydx_chain,dYdX Chain,20250330_014029
dydx_perpetual,dYdX Perpetual (Ethereum),20250330_014029
dyorswap-berachain,DYORSwap (Berachain),20250330_014029
dyorswap-blast,DYORSwap (Blast),20250330_014029
dyorswap-degenchain,DYORSwap (Degen Chain),20250330_014029
dyorswap-ink,DYORSwap (Ink),20250330_014029
dyorswap-sonic,DYORSwap (Sonic),20250330_014029
dyorswap-world-chain,DYORSwap (World Chain),20250330_014029
dystopia,Dystopia,20250330_014029
earnbit,EarnBIT,20250330_014029
ebisus-bay,Ebisu's Bay,20250330_014029
ebisus-bay-cronos-zkevm,Ebisu's Bay (Cronos zkEVM),20250330_014029
ebi-xyz,EBI.XYZ,20250330_014029
echodex,EchoDEX,20250330_014029
econia,Econia,20250330_014029
ecxx,Ecxx,20250330_014029
eddyfinance,EddyFinance,20250330_014029
edgex,edgeX,20250330_014029
ekubo,Ekubo (Starknet),20250330_014029
electroswap%20v3,ElectroSwap V3,20250330_014029
electroswap-v2,ElectroSwap V2,20250330_014029
elexium-finance,Elexium Finance,20250330_014029
elk_finance_avax,Elk Finance (Avalanche),20250330_014029
elk_finance_bsc,Elk Finance (BSC),20250330_014029
elk_finance_ethereum,Elk Finance (Ethereum),20250330_014029
elk_finance_polygon,Elk Finance (Polygon),20250330_014029
elk-finance-q-mainnet,Elk Finance (Q Mainnet),20250330_014029
elk_finance_telos,Elk Finance (Telos),20250330_014029
ellipsis_finance,Ellipsis Finance,20250330_014029
emirex,Emirex,20250330_014029
energiswap,Energiswap,20250330_014029
enosys-flare,Enosys (Flare),20250330_014029
enosys-v3-flare,Enosys V3 (Flare),20250330_014029
equalizer,Equalizer,20250330_014029
equalizer-base,Equalizer (Base),20250330_014029
equalizer-sonic,Equalizer (Sonic),20250330_014029
equation,Equation,20250330_014029
equilibre,Équilibre,20250330_014029
etcmc,ETCMC,20250330_014029
etcswap-v2,ETCswap V2,20250330_014029
etcswap-v3,ETCswap V3,20250330_014029
ethervista,Ethervista,20250330_014029
everdex,Everdex,20250330_014029
evmoswap,EvmoSwap,20250330_014029
evo-exchange,Evo Exchange,20250330_014029
excalibur,Excalibur,20250330_014029
exmo,EXMO,20250330_014029
fairdesk,Fairdesk,20250330_014029
fairdesk_derivatives,Fairdesk Derivatives,20250330_014029
fairyswap,Fairyswap,20250330_014029
fameex,FameEX,20250330_014029
fastex,Fastex,20250330_014029
fatbtc,FatBTC,20250330_014029
fathom-dex,Fathom DEX,20250330_014029
fenix-finance,Fenix Finance,20250330_014029
ferro_protocol,Ferro Protocol,20250330_014029
firefly,Firefly,20250330_014029
first-ledger,First Ledger,20250330_014029
flatqube,FlatQube,20250330_014029
flow-x,FlowX Finance,20250330_014029
fluxbeam,FluxBeam,20250330_014029
fmcpay,FMCPAY,20250330_014029
forge,Forge,20250330_014029
forteswap,Forteswap,20250330_014029
foxbit,Foxbit,20250330_014029
fraxswap_ethereum,Fraxswap (Ethereum),20250330_014029
fraxswap-fraxtal,Fraxswap (Fraxtal),20250330_014029
freiexchange,Freiexchange,20250330_014029
friendly_market,Friendly Market,20250330_014029
funki,Funki DEX,20250330_014029
fusionx-v2,FusionX V2,20250330_014029
fusionx-v3,FusionX V3,20250330_014029
fwx,FWX,20250330_014029
fwx-base,FWX (Base),20250330_014029
fwx-futures,FWX (Futures) (Avalanche),20250330_014029
fwx-futures-base,FWX (Futures) (Base),20250330_014029
gaming-dex-defiverse,Gaming Dex (DeFiVerse),20250330_014029
gaming-dex-oasys,Gaming DEX (Oasys),20250330_014029
gasx,GasX,20250330_014029
gate,Gate.io,20250330_014029
gate_futures,Gate.io (Futures),20250330_014029
gdax,Coinbase Exchange,20250330_014029
gemini,Gemini,20250330_014029
gemini_derivatives,Gemini Derivatives,20250330_014029
giottus,Giottus,20250330_014029
glide_finance,Glide Finance,20250330_014029
globe_exchange,Globe,20250330_014029
globe_exchange_derivatives,Globe (Derivatives),20250330_014029
globiance,Globiance,20250330_014029
glyph-exchange-v2,Glyph Exchange V2,20250330_014029
glyph-exchange-v4,Glyph Exchange V4,20250330_014029
gmo_japan,GMO Japan,20250330_014029
gmo_japan_futures,GMO Japan (Futures),20250330_014029
gmx_arbitrum,GMX Derivatives (Arbitrum),20250330_014029
gmx_avalanche,GMX Derivatives (Avalanche),20250330_014029
goosefx,GooseFX,20250330_014029
gopax,GoPax,20250330_014029
graphlinq-hub,GraphLinq Hub,20250330_014029
gravity_finance,Gravity Finance,20250330_014029
greenhouse_dex,Greenhouse,20250330_014029
grovex,GroveX,20250330_014029
grvt_futures,GRVT,20250330_014029
gull-network,Gull Network,20250330_014029
h2-finance,H2 Finance,20250330_014029
halo_trade,Halo Trade,20250330_014029
hashkey_exchange,HashKey Exchange,20250330_014029
hashkey-global,HashKey Global,20250330_014029
hashkey-global-futures,HashKey Global (Futures),20250330_014029
hata,Hata,20250330_014029
hbarsuite-dex,HbarSuite DEX,20250330_014029
hebeswap,Hebeswap,20250330_014029
heliswap,HeliSwap,20250330_014029
henjin,Henjin (Base),20250330_014029
henjindex,HenjinDEX,20250330_014029
hercules-v2,Hercules V2,20250330_014029
hercules-v3,Hercules V3,20250330_014029
hermes_protocol,Hermes Protocol,20250330_014029
hibt,Hibt,20250330_014029
hitbtc,HitBTC,20250330_014029
hitbtc_derivatives,HitBTC (Derivatives),20250330_014029
hiveswap-v3,HiveSwap V3,20250330_014029
holdstation,Holdstation,20250330_014029
holdstation-berachain,Holdstation (Berachain),20250330_014029
holdstation-defutures,Holdstation DeFutures,20250330_014029
honeyswap,Honeyswap,20250330_014029
honeyswap_polygon,Honeyswap (Polygon),20250330_014029
honorswap,HonorSwap,20250330_014029
hopeswap,HopeSwap,20250330_014029
horizondex,HorizonDEX,20250330_014029
hotcoin_global,Hotcoin,20250330_014029
howswap,HowSwap,20250330_014029
huckleberry,Huckleberry,20250330_014029
huobi,HTX,20250330_014029
huobi_dm,HTX Futures,20250330_014029
huobi_japan,BitTrade,20250330_014029
hydra,Hydra DEX,20250330_014029
hydradx,Hydration,20250330_014029
hyperblast,HyperBlast,20250330_014029
hyperliquid,Hyperliquid (Futures),20250330_014029
hyperliquid-spot,Hyperliquid,20250330_014029
hyperswap-areon-network,HyperSwap,20250330_014029
hyperswap-v2,HyperSwap V2,20250330_014029
hyperswap-v3,HyperSwap V3,20250330_014029
icdex,ICDex,20250330_014029
icecreamswap-core,IcecreamSwap (Core),20250330_014029
icecreamswap-v3-core,IceCreamSwap V3 (CORE) ,20250330_014029
icpex,ICPEx,20250330_014029
icpswap,ICPSwap,20250330_014029
icrypex,Icrypex,20250330_014029
idex,Idex,20250330_014029
iguanadex,IguanaDEX,20250330_014029
illuminex,illumineX,20250330_014029
impossible_finance,Impossible Finance,20250330_014029
impossible-finance-humanode,Impossible Finance (Humanode),20250330_014029
impossible_finance_v3,Impossible Finance (v3),20250330_014029
increment_swap,Increment Swap,20250330_014029
independent_reserve,Independent Reserve,20250330_014029
indodax,Indodax,20250330_014029
inex,INEX,20250330_014029
infusion,Infusion,20250330_014029
injective,Helix,20250330_014029
injective_futures,Helix (Futures),20250330_014029
inkyswap,InkySwap,20250330_014029
invariant,Invariant,20250330_014029
invariant_eclipse,Invariant (Eclipse),20250330_014029
inx_one,INX One,20250330_014029
iotabee-shimmerevm,Iotabee (ShimmerEVM),20250330_014029
itbit,itBit,20250330_014029
iziswap,iZiSwap (BSC),20250330_014029
iziswap-kroma,iZiSwap (Kroma),20250330_014029
iziswap-linea,iZiSwap (Linea),20250330_014029
iziswap-manta-pacific,iZiSwap (Manta Pacific),20250330_014029
iziswap-mantle,iZiSwap (Mantle),20250330_014029
iziswap-mode,iZiSwap (Mode),20250330_014029
iziswap-scroll,iZiSwap (Scroll),20250330_014029
iziswap-taiko,iZiSwap (Taiko),20250330_014029
iziswap-x-layer,iZiSwap (X Layer),20250330_014029
iziswap-zetachain,iZiSwap (Zetachain),20250330_014029
iziswap-zkfair,iZiSwap (ZKFair),20250330_014029
iziswap-zklink-nova,iZiSwap (zkLink Nova) ,20250330_014029
